14 06 2017, 0.00, 19.49
15 06 2017, 0.00, 17.61
16 06 2017, 0.00, 26.51
17 06 2017, 0.00, 24.57
18 06 2017, 0.00, 21.55
19 06 2017, 0.00, 18.80
20 06 2017, 5.01, 26.93
21 06 2017, 4.38, 29.31
22 06 2017, 1.34, 27.03
23 06 2017, 2.23, 16.00
24 06 2017, 0.00, 33.71
25 06 2017, 0.00, 30.81
26 06 2017, 0.00, 30.89
27 06 2017, 0.00, 29.54
28 06 2017, 5.48, 29.33
29 06 2017, 0.03, 28.11
30 06 2017, 40.67, 25.06
01 07 2017, 20.03, 24.44
02 07 2017, 0.00, 33.26
03 07 2017, 0.54, 27.40
04 07 2017, 14.28, 27.15
05 07 2017, 0.00, 26.00
06 07 2017, 0.00, 21.77
07 07 2017, 0.00, 26.73
08 07 2017, 0.81, 34.22
09 07 2017, 0.00, 26.06
10 07 2017, 0.41, 23.83
11 07 2017, 17.92, 29.44
12 07 2017, 0.77, 34.46
13 07 2017, 22.11, 17.71
14 07 2017, 13.78, 22.47
15 07 2017, 1.08, 27.37
16 07 2017, 0.00, 25.66
17 07 2017, 0.00, 30.45
18 07 2017, 0.00, 25.57
19 07 2017, 20.61, 34.79
20 07 2017, 8.03, 27.84
21 07 2017, 40.73, 28.28
22 07 2017, 91.79, 20.46
23 07 2017, 32.19, 19.13
24 07 2017, 0.00, 24.07
25 07 2017, 0.00, 25.20
26 07 2017, 0.01, 43.39
27 07 2017, 37.36, 22.34
28 07 2017, 23.78, 24.20
29 07 2017, 0.00, 26.83
31 07 2017, 46.19, 20.94
01 08 2017, 68.86, 19.62
02 08 2017, 143.91, 31.56
03 08 2017, 90.92, 20.46
04 08 2017, 33.46, 20.99
05 08 2017, 50.81, 18.26
06 08 2017, 56.79, 16.92
07 08 2017, 0.72, 28.43
08 08 2017, 40.49, 24.55
09 08 2017, 192.62, 18.59
10 08 2017, 0.00, 14.28
11 08 2017, 2.76, 18.85
12 08 2017, 0.00, 34.90
13 08 2017, 22.70, 16.41
14 08 2017, 0.00, 33.35
15 08 2017, 2.33, 23.47
16 08 2017, 7.04, 16.27
17 08 2017, 178.84, 36.02
18 08 2017, 144.09, 22.87
19 08 2017, 39.12, 18.83
20 08 2017, 14.13, 23.15
21 08 2017, 0.00, 33.04
22 08 2017, 0.00, 26.81
