12Z 08 03 2017, 0.00, 25.10
00Z 09 03 2017, 0.00, 24.70
12Z 09 03 2017, 0.00, 23.84
00Z 10 03 2017, 7.86, 19.28
12Z 10 03 2017, 0.00, 14.95
00Z 11 03 2017, 0.00, 15.68
12Z 11 03 2017, 0.00, 23.33
00Z 12 03 2017, 0.00, 18.46
12Z 12 03 2017, 25.97, 9.97
00Z 13 03 2017, 0.00, 8.90
12Z 13 03 2017, 0.49, 17.13
00Z 14 03 2017, 0.00, 18.05
12Z 14 03 2017, 0.00, 15.30
00Z 15 03 2017, 0.00, 23.67
12Z 15 03 2017, 0.00, 15.69
00Z 16 03 2017, 0.00, 17.16
12Z 16 03 2017, 1.81, 12.98
00Z 17 03 2017, 0.00, 9.65
12Z 17 03 2017, 14.17, 17.30
00Z 18 03 2017, 0.00, 27.85
12Z 18 03 2017, 0.00, 22.61
00Z 19 03 2017, 0.00, 21.88
12Z 19 03 2017, 11.82, 16.03
00Z 20 03 2017, 0.00, 24.75
12Z 20 03 2017, 0.00, 19.66
00Z 21 03 2017, 9.60, 7.98
12Z 21 03 2017, 35.82, 10.09
00Z 22 03 2017, 9.65, 12.47
12Z 22 03 2017, 66.03, 9.32
00Z 23 03 2017, 4.85, 8.99
12Z 23 03 2017, 0.01, 13.13
00Z 24 03 2017, 0.00, 15.92
12Z 24 03 2017, 0.00, 14.70
00Z 25 03 2017, 0.00, 12.60
12Z 25 03 2017, 0.00, 6.42
00Z 26 03 2017, 0.00, 9.72
12Z 26 03 2017, 0.00, 13.03
00Z 27 03 2017, 0.00, 12.11
12Z 27 03 2017, 0.00, 10.11
00Z 28 03 2017, 0.00, 15.98
12Z 28 03 2017, 132.98, 16.59
00Z 29 03 2017, 0.88, 21.54
12Z 29 03 2017, 0.00, 26.30
00Z 30 03 2017, 0.00, 21.92
12Z 30 03 2017, 0.00, 23.34
00Z 31 03 2017, 0.03, 24.49
12Z 31 03 2017, 52.77, 17.93
00Z 01 04 2017, 97.89, 13.84
12Z 01 04 2017, 23.66, 14.70
00Z 02 04 2017, 0.00, 12.44
12Z 02 04 2017, 0.00, 10.13
00Z 03 04 2017, 0.00, 9.61
12Z 03 04 2017, 9.54, 18.80
00Z 04 04 2017, 0.00, 12.72
12Z 04 04 2017, 0.13, 13.11
00Z 05 04 2017, 0.00, 10.40
12Z 05 04 2017, 0.59, 9.63
00Z 06 04 2017, 0.00, 9.21
12Z 06 04 2017, 0.06, 10.84
00Z 07 04 2017, 0.00, 10.34
12Z 07 04 2017, 0.00, 10.26
00Z 08 04 2017, 0.00, 10.55
12Z 08 04 2017, 0.00, 13.08
00Z 09 04 2017, 0.00, 12.53
12Z 09 04 2017, 1.70, 8.48
00Z 10 04 2017, 0.00, 15.15
12Z 10 04 2017, 5.20, 10.58
00Z 11 04 2017, 4.03, 16.75
12Z 11 04 2017, 0.00, 15.12
00Z 12 04 2017, 1.23, 15.93
12Z 12 04 2017, 3.99, 12.24
00Z 13 04 2017, 8.63, 13.81
12Z 13 04 2017, 3.52, 13.86
00Z 14 04 2017, 0.00, 14.30
12Z 14 04 2017, 10.56, 20.41
00Z 15 04 2017, 0.00, 20.30
12Z 15 04 2017, 2.71, 12.43
00Z 16 04 2017, 27.09, 16.31
12Z 16 04 2017, 0.00, 16.11
00Z 17 04 2017, 19.72, 14.83
12Z 17 04 2017, 16.15, 14.23
00Z 18 04 2017, 0.00, 12.45
12Z 18 04 2017, 0.00, 15.42
00Z 19 04 2017, 0.00, 14.79
12Z 19 04 2017, 2.79, 14.71
00Z 20 04 2017, 0.00, 15.72
12Z 20 04 2017, 0.00, 16.21
00Z 21 04 2017, 0.00, 14.75
12Z 21 04 2017, 0.00, 11.98
00Z 22 04 2017, 0.00, 11.33
12Z 22 04 2017, 0.39, 14.47
00Z 23 04 2017, 0.00, 14.39
12Z 23 04 2017, 11.07, 16.16
00Z 24 04 2017, 0.00, 15.08
12Z 24 04 2017, 6.84, 14.53
00Z 25 04 2017, 0.00, 10.25
12Z 25 04 2017, 7.20, 6.83
00Z 26 04 2017, 0.00, 9.93
12Z 26 04 2017, 0.46, 7.78
00Z 27 04 2017, 5.08, 8.83
12Z 27 04 2017, 23.11, 12.39
00Z 28 04 2017, 70.69, 13.68
12Z 28 04 2017, 18.62, 10.85
00Z 29 04 2017, 15.47, 11.70
12Z 29 04 2017, 44.33, 11.95
00Z 30 04 2017, 0.00, 12.58
12Z 30 04 2017, 11.16, 17.44
00Z 01 05 2017, 45.47, 13.79
12Z 01 05 2017, 4.23, 18.97
00Z 02 05 2017, 0.00, 14.24
12Z 02 05 2017, 8.08, 12.19
00Z 03 05 2017, 0.00, 14.82
12Z 03 05 2017, 0.00, 9.12
00Z 04 05 2017, 19.94, 12.84
12Z 04 05 2017, 3.58, 12.98
00Z 05 05 2017, 0.36, 13.81
12Z 05 05 2017, 0.85, 11.68
00Z 06 05 2017, 0.00, 20.07
12Z 06 05 2017, 0.00, 23.68
00Z 07 05 2017, 0.00, 15.94
12Z 07 05 2017, 0.00, 15.37
00Z 08 05 2017, 0.00, 12.67
12Z 08 05 2017, 0.01, 15.45
00Z 09 05 2017, 0.00, 10.26
12Z 09 05 2017, 2.14, 10.23
00Z 10 05 2017, 0.00, 8.25
12Z 10 05 2017, 0.00, 9.91
00Z 11 05 2017, 0.00, 15.16
12Z 11 05 2017, 1.30, 22.37
00Z 12 05 2017, 12.37, 25.79
12Z 12 05 2017, 0.19, 24.27
00Z 13 05 2017, 4.06, 19.58
12Z 13 05 2017, 2.93, 17.92
00Z 14 05 2017, 38.44, 11.42
12Z 14 05 2017, 130.88, 13.10
00Z 15 05 2017, 0.00, 30.31
12Z 15 05 2017, 0.00, 34.75
00Z 16 05 2017, 0.00, 31.34
12Z 16 05 2017, 0.00, 31.30
00Z 17 05 2017, 0.00, 27.46
12Z 17 05 2017, 0.00, 22.79
00Z 18 05 2017, 2.35, 11.92
12Z 18 05 2017, 21.16, 13.05
00Z 19 05 2017, 8.83, 14.14
12Z 19 05 2017, 55.27, 13.42
00Z 20 05 2017, 19.57, 16.38
12Z 20 05 2017, 8.24, 14.70
00Z 21 05 2017, 5.56, 17.72
12Z 21 05 2017, 2.11, 17.50
00Z 22 05 2017, 0.00, 17.47
12Z 22 05 2017, 0.00, 23.90
00Z 23 05 2017, 0.00, 27.95
12Z 23 05 2017, 0.00, 25.32
00Z 24 05 2017, 0.31, 22.50
12Z 24 05 2017, 0.30, 19.59
00Z 25 05 2017, 0.00, 15.59
12Z 25 05 2017, 0.00, 19.87
00Z 26 05 2017, 0.00, 18.00
12Z 26 05 2017, 0.00, 18.54
00Z 27 05 2017, 0.00, 34.29
12Z 27 05 2017, 1.22, 17.09
00Z 28 05 2017, 0.00, 15.74
12Z 28 05 2017, 0.00, 34.62
00Z 29 05 2017, 0.00, 29.24
12Z 29 05 2017, 0.00, 23.81
00Z 30 05 2017, 11.05, 22.15
12Z 30 05 2017, 25.44, 21.74
00Z 31 05 2017, 1.86, 22.75
12Z 31 05 2017, 24.97, 20.99
00Z 01 06 2017, 0.82, 21.84
12Z 01 06 2017, 0.00, 20.02
00Z 02 06 2017, 0.00, 25.13
12Z 02 06 2017, 0.00, 24.79
00Z 03 06 2017, 18.22, 11.34
12Z 03 06 2017, 19.31, 20.61
00Z 04 06 2017, 0.02, 13.45
12Z 04 06 2017, 20.62, 20.62
00Z 05 06 2017, 34.90, 20.30
12Z 05 06 2017, 13.73, 26.95
00Z 06 06 2017, 49.41, 16.35
12Z 06 06 2017, 189.00, 14.94
00Z 07 06 2017, 79.64, 14.86
12Z 07 06 2017, 3.67, 27.21
00Z 08 06 2017, 6.71, 27.87
12Z 08 06 2017, 23.10, 18.45
00Z 09 06 2017, 173.09, 18.54
12Z 09 06 2017, 19.24, 17.99
00Z 10 06 2017, 0.00, 34.09
12Z 10 06 2017, 0.00, 29.92
00Z 11 06 2017, 0.00, 21.04
12Z 11 06 2017, 70.56, 16.07
00Z 12 06 2017, 31.35, 18.52
12Z 12 06 2017, 0.00, 20.01
00Z 13 06 2017, 0.13, 21.70
12Z 13 06 2017, 0.00, 23.67
00Z 14 06 2017, 0.00, 19.49
12Z 14 06 2017, 0.00, 20.59
00Z 15 06 2017, 0.00, 17.61
12Z 15 06 2017, 0.05, 13.73
00Z 16 06 2017, 0.00, 26.51
12Z 16 06 2017, 0.00, 27.21
00Z 17 06 2017, 0.00, 24.57
12Z 17 06 2017, 0.00, 23.51
00Z 18 06 2017, 0.00, 21.55
12Z 18 06 2017, 0.00, 19.72
00Z 19 06 2017, 0.00, 18.80
12Z 19 06 2017, 28.56, 21.68
00Z 20 06 2017, 5.01, 26.93
12Z 20 06 2017, 206.05, 20.61
00Z 21 06 2017, 4.38, 29.31
12Z 21 06 2017, 380.11, 23.79
00Z 22 06 2017, 1.34, 27.03
12Z 22 06 2017, 2.59, 19.00
00Z 23 06 2017, 2.23, 16.00
12Z 23 06 2017, 12.43, 18.13
00Z 24 06 2017, 0.00, 33.71
12Z 24 06 2017, 1.15, 31.22
00Z 25 06 2017, 0.00, 30.81
12Z 25 06 2017, 3.27, 29.54
00Z 26 06 2017, 0.00, 30.89
12Z 26 06 2017, 3.62, 29.51
00Z 27 06 2017, 0.00, 29.54
12Z 27 06 2017, 3.00, 32.70
00Z 28 06 2017, 5.48, 29.33
12Z 28 06 2017, 8.95, 28.72
00Z 29 06 2017, 0.03, 28.11
12Z 29 06 2017, 9.66, 26.00
00Z 30 06 2017, 40.67, 25.06
12Z 30 06 2017, 3.46, 25.72
00Z 01 07 2017, 20.03, 24.44
12Z 01 07 2017, 0.00, 21.60
00Z 02 07 2017, 0.00, 33.26
12Z 02 07 2017, 0.32, 16.99
00Z 03 07 2017, 0.54, 27.40
12Z 03 07 2017, 2.23, 30.08
00Z 04 07 2017, 14.28, 27.15
12Z 04 07 2017, 0.00, 27.62
00Z 05 07 2017, 0.00, 26.00
12Z 05 07 2017, 0.00, 25.88
00Z 06 07 2017, 0.00, 21.77
12Z 06 07 2017, 0.00, 22.60
00Z 07 07 2017, 0.00, 26.73
12Z 07 07 2017, 0.00, 29.53
00Z 08 07 2017, 0.81, 34.22
12Z 08 07 2017, 34.72, 33.47
00Z 09 07 2017, 0.00, 26.06
12Z 09 07 2017, 5.37, 22.64
00Z 10 07 2017, 0.41, 23.83
12Z 10 07 2017, 0.00, 21.64
00Z 11 07 2017, 17.92, 29.44
12Z 11 07 2017, 0.00, 35.26
00Z 12 07 2017, 0.77, 34.46
12Z 12 07 2017, 0.00, 13.04
00Z 13 07 2017, 22.11, 17.71
12Z 13 07 2017, 30.66, 21.95
00Z 14 07 2017, 13.78, 22.47
12Z 14 07 2017, 1.74, 18.25
00Z 15 07 2017, 1.08, 27.37
12Z 15 07 2017, 0.00, 37.16
00Z 16 07 2017, 0.00, 25.66
12Z 16 07 2017, 0.00, 34.57
00Z 17 07 2017, 0.00, 30.45
12Z 17 07 2017, 0.00, 24.14
00Z 18 07 2017, 0.00, 25.57
12Z 18 07 2017, 100.65, 32.10
00Z 19 07 2017, 20.61, 34.79
12Z 19 07 2017, 58.28, 34.75
00Z 20 07 2017, 8.03, 27.84
12Z 20 07 2017, 51.57, 19.08
00Z 21 07 2017, 40.73, 28.28
00Z 22 07 2017, 91.79, 20.46
12Z 22 07 2017, 41.91, 22.31
00Z 23 07 2017, 32.19, 19.13
12Z 23 07 2017, 23.02, 22.61
00Z 24 07 2017, 0.00, 24.07
12Z 24 07 2017, 0.00, 23.07
00Z 25 07 2017, 0.00, 25.20
12Z 25 07 2017, 0.00, 30.32
00Z 26 07 2017, 0.01, 43.39
12Z 26 07 2017, 0.04, 20.99
00Z 27 07 2017, 37.36, 22.34
12Z 27 07 2017, 26.87, 20.60
00Z 28 07 2017, 23.78, 24.20
12Z 28 07 2017, 3.23, 33.56
00Z 29 07 2017, 0.00, 26.83
12Z 29 07 2017, 0.98, 31.44
12Z 30 07 2017, 289.84, 24.00
00Z 31 07 2017, 46.19, 20.94
12Z 31 07 2017, 118.52, 22.66
00Z 01 08 2017, 68.86, 19.62
12Z 01 08 2017, 129.23, 20.52
00Z 02 08 2017, 143.91, 31.56
12Z 02 08 2017, 0.00, 31.32
00Z 03 08 2017, 90.92, 20.46
12Z 03 08 2017, 34.41, 20.43
00Z 04 08 2017, 33.46, 20.99
12Z 04 08 2017, 38.28, 19.99
00Z 05 08 2017, 50.81, 18.26
12Z 05 08 2017, 93.01, 15.58
00Z 06 08 2017, 56.79, 16.92
12Z 06 08 2017, 11.61, 26.08
00Z 07 08 2017, 0.72, 28.43
12Z 07 08 2017, 30.67, 23.17
00Z 08 08 2017, 40.49, 24.55
12Z 08 08 2017, 93.38, 16.76
00Z 09 08 2017, 192.62, 18.59
12Z 09 08 2017, 106.93, 24.02
00Z 10 08 2017, 0.00, 14.28
12Z 10 08 2017, 4.05, 15.40
00Z 11 08 2017, 2.76, 18.85
12Z 11 08 2017, 4.00, 34.69
00Z 12 08 2017, 0.00, 34.90
12Z 12 08 2017, 4.34, 15.14
00Z 13 08 2017, 22.70, 16.41
12Z 13 08 2017, 5.38, 16.82
00Z 14 08 2017, 0.00, 33.35
12Z 14 08 2017, 0.00, 32.85
00Z 15 08 2017, 2.33, 23.47
12Z 15 08 2017, 65.93, 17.57
00Z 16 08 2017, 7.04, 16.27
12Z 16 08 2017, 4.76, 32.19
00Z 17 08 2017, 178.84, 36.02
12Z 17 08 2017, 86.19, 21.44
00Z 18 08 2017, 144.09, 22.87
12Z 18 08 2017, 219.02, 17.94
00Z 19 08 2017, 39.12, 18.83
12Z 19 08 2017, 36.71, 13.85
00Z 20 08 2017, 14.13, 23.15
12Z 20 08 2017, 0.00, 40.02
00Z 21 08 2017, 0.00, 33.04
12Z 21 08 2017, 0.06, 30.97
00Z 22 08 2017, 0.00, 26.81
12Z 22 08 2017, 14.93, 35.01
00Z 23 08 2017, 0.00, 23.39
12Z 23 08 2017, 30.16, 23.20
00Z 24 08 2017, 15.96, 21.10
12Z 24 08 2017, 12.67, 20.95
00Z 25 08 2017, 0.00, 22.10
12Z 25 08 2017, 11.92, 24.02
