01 01 2017, 2.42, 16.18
02 01 2017, 0.00, 6.68
03 01 2017, 0.00, 8.81
04 01 2017, 0.09, 9.40
05 01 2017, 0.00, 11.26
06 01 2017, 0.00, 21.49
07 01 2017, 0.00, 19.66
08 01 2017, 0.00, 15.72
09 01 2017, 0.13, 21.74
10 01 2017, 1.25, 22.69
11 01 2017, 0.00, 10.34
12 01 2017, 1.27, 16.00
13 01 2017, 15.91, 7.12
14 01 2017, 19.22, 13.08
15 01 2017, 10.81, 17.94
16 01 2017, 0.00, 17.15
17 01 2017, 2.18, 15.48
18 01 2017, 0.00, 13.51
19 01 2017, 0.00, 9.19
20 01 2017, 0.00, 7.29
21 01 2017, 0.00, 7.55
22 01 2017, 0.00, 11.67
23 01 2017, 0.00, 8.52
24 01 2017, 4.59, 12.95
25 01 2017, 0.00, 5.72
26 01 2017, 0.06, 4.51
27 01 2017, 0.16, 15.16
28 01 2017, 84.24, 9.60
29 01 2017, 0.00, 24.47
30 01 2017, 0.00, 25.68
31 01 2017, 0.30, 24.34
01 02 2017, 28.33, 18.83
02 02 2017, 32.68, 15.57
03 02 2017, 2.35, 17.44
04 02 2017, 0.00, 10.41
05 02 2017, 38.89, 11.45
06 02 2017, 0.00, 23.17
07 02 2017, 0.00, 8.86
08 02 2017, 3.92, 9.09
09 02 2017, 4.55, 8.62
10 02 2017, 0.00, 8.11
11 02 2017, 6.02, 8.38
12 02 2017, 5.14, 7.04
13 02 2017, 0.00, 19.13
14 02 2017, 2.85, 12.46
15 02 2017, 119.08, 12.93
16 02 2017, 11.48, 12.23
17 02 2017, 0.00, 19.78
18 02 2017, 0.14, 15.92
19 02 2017, 0.00, 23.03
20 02 2017, 0.00, 21.58
21 02 2017, 0.18, 17.45
22 02 2017, 0.00, 20.98
23 02 2017, 31.28, 10.14
24 02 2017, 3.65, 15.58
25 02 2017, 2.63, 23.68
26 02 2017, 1.90, 15.46
27 02 2017, 3.51, 9.43
28 02 2017, 6.75, 7.62
01 03 2017, 0.00, 13.55
02 03 2017, 11.89, 8.57
03 03 2017, 37.55, 17.98
04 03 2017, 5.23, 12.54
05 03 2017, 253.51, 10.23
06 03 2017, 88.22, 9.84
07 03 2017, 0.00, 21.30
08 03 2017, 0.00, 25.10
09 03 2017, 0.00, 23.84
10 03 2017, 0.00, 14.95
11 03 2017, 0.00, 23.33
12 03 2017, 25.97, 9.97
13 03 2017, 0.49, 17.13
14 03 2017, 0.00, 15.30
15 03 2017, 0.00, 15.69
16 03 2017, 1.81, 12.98
17 03 2017, 14.17, 17.30
18 03 2017, 0.00, 22.61
19 03 2017, 11.82, 16.03
20 03 2017, 0.00, 19.66
21 03 2017, 35.82, 10.09
